Name,Register Number,Department,Year of Study
Aadhya Reddy,714024104001,CSE,2
Aarav Kumar,714024104002,CSE,2
Anvi Bhat,714024104003,CSE,2
Diya Mehta,714024104004,CSE,2
Vivaan Nair,714024104005,CSE,2
Anvi Kumar,714024104006,CSE,2
Sai Singh,714024104007,CSE,2
Krishna Joshi,714024104008,CSE,2
Ananya Jain,714024104009,CSE,2
Ishaan Saxena,714024104010,CSE,2
Riya Verma,714024104011,CSE,2
Aadhya Patel,714024104012,CSE,2
Riya Patel,714024104013,CSE,2
Reyansh Chopra,714024104014,CSE,2
Krishna Nair,714024104015,CSE,2
Anvi Chopra,714024104016,CSE,2
Diya Desai,714024104017,CSE,2
Vivaan Bhat,714024104018,CSE,2
Anvi Saxena,714024104019,CSE,2
Krishna Mehta,714024104020,CSE,2
Saanvi Verma,714024104021,CSE,2
Ayaan Desai,714024104022,CSE,2
Ayaan Mehta,714024104023,CSE,2
Pari Kapoor,714024104024,CSE,2
Arjun Yadav,714024104025,CSE,2
Reyansh Rao,714024104026,CSE,2
Vihaan Chopra,714024104027,CSE,2
Riya Saxena,714024104028,CSE,2
Reyansh Reddy,714024104029,CSE,2
Ayaan Rao,714024104030,CSE,2
Arjun Bhat,714024104031,CSE,2
Arjun Rao,714024104032,CSE,2
Aditya Chopra,714024104033,CSE,2
Krishna Malhotra,714024104034,CSE,2
Vihaan Joshi,714024104035,CSE,2
Aarav Patel,714024104036,CSE,2
Vivaan Saxena,714024104037,CSE,2
Ishaan Saxena,714024104038,CSE,2
Myra Bhat,714024104039,CSE,2
Sai Kumar,714024104040,CSE,2
Vivaan Sharma,714024104041,CSE,2
Anvi Patel,714024104042,CSE,2
Ananya Mehta,714024104043,CSE,2
Diya Reddy,714024104044,CSE,2
Aarav Rao,714024104045,CSE,2
Saanvi Saxena,714024104046,CSE,2
Ananya Sharma,714024104047,CSE,2
Arjun Kumar,714024104048,CSE,2
Sarah Nair,714024104049,CSE,2
Ayaan Jain,714024104050,CSE,2
Riya Jain,714024104051,CSE,2
Diya Singh,714024104052,CSE,2
Aarav Rao,714024104053,CSE,2
Sarah Sharma,714024104054,CSE,2
Sarah Singh,714024104055,CSE,2
Ayaan Sharma,714024104056,CSE,2
Anvi Yadav,714024104057,CSE,2
Vihaan Das,714024104058,CSE,2
Aadhya Reddy,714024104059,CSE,2
Aarav Bhat,714024104060,CSE,2
Saanvi Malhotra,714024104061,CSE,2
Sai Singh,714024104062,CSE,2
Krishna Joshi,714024104063,CSE,2
Sai Bhat,714024104064,CSE,2
Riya Das,714024104065,CSE,2
Ishaan Kapoor,714024104066,CSE,2
Ananya Malhotra,714024104067,CSE,2
Arjun Rao,714024104068,CSE,2
Saanvi Malhotra,714024104069,CSE,2
Ayaan Reddy,714024104070,CSE,2
Reyansh Sharma,714024104071,CSE,2
Sarah Desai,714024104072,CSE,2
Ishaan Verma,714024104073,CSE,2
Saanvi Yadav,714024104074,CSE,2
Myra Gupta,714024104075,CSE,2
Vivaan Joshi,714024104076,CSE,2
Saanvi Kumar,714024104077,CSE,2
Aarav Desai,714024104078,CSE,2
Diya Saxena,714024104079,CSE,2
Reyansh Kumar,714024104080,CSE,2
Aadhya Patel,714024104081,CSE,2
Saanvi Das,714024104082,CSE,2
Sarah Kapoor,714024104083,CSE,2
Vihaan Desai,714024104084,CSE,2
Diya Kumar,714024104085,CSE,2
Aditya Joshi,714024104086,CSE,2
Ishaan Gupta,714024104087,CSE,2
Aadhya Bhat,714024104088,CSE,2
Aadhya Jain,714024104089,CSE,2
Riya Chopra,714024104090,CSE,2
Ananya Sharma,714024104091,CSE,2
Aditya Chopra,714024104092,CSE,2
Reyansh Verma,714024104093,CSE,2
Anvi Rao,714024104094,CSE,2
Aditya Bhat,714024104095,CSE,2
Krishna Yadav,714024104096,CSE,2
Sai Nair,714024104097,CSE,2
Aadhya Gupta,714024104098,CSE,2
Sai Desai,714024104099,CSE,2
Myra Gupta,714024104100,CSE,2
Vihaan Rao,714024104101,CSE,2
Krishna Rao,714024104102,CSE,2
Myra Saxena,714024104103,CSE,2
Sarah Verma,714024104104,CSE,2
Anvi Mehta,714024104105,CSE,2
Ananya Jain,714024104106,CSE,2
Arjun Saxena,714024104107,CSE,2
Riya Mehta,714024104108,CSE,2
Aadhya Bhat,714024104109,CSE,2
Vivaan Patel,714024104110,CSE,2
Sarah Chopra,714024104111,CSE,2
Ishaan Chopra,714024104112,CSE,2
Sarah Singh,714024104113,CSE,2
Ananya Singh,714024104114,CSE,2
Krishna Yadav,714024104115,CSE,2
Sarah Bhat,714024104116,CSE,2
Diya Das,714024104117,CSE,2
Aditya Kapoor,714024106001,ECE,2
Aadhya Desai,714024106002,ECE,2
Pari Reddy,714024106003,ECE,2
Krishna Chopra,714024106004,ECE,2
Anvi Nair,714024106005,ECE,2
Arjun Das,714024106006,ECE,2
Aditya Sharma,714024106007,ECE,2
Aadhya Verma,714024106008,ECE,2
Reyansh Bhat,714024106009,ECE,2
Saanvi Nair,714024106010,ECE,2
Saanvi Kapoor,714024106011,ECE,2
Myra Yadav,714024106012,ECE,2
Anvi Joshi,714024106013,ECE,2
Sai Bhat,714024106014,ECE,2
Ishaan Yadav,714024106015,ECE,2
Ayaan Sharma,714024106016,ECE,2
Riya Sharma,714024106017,ECE,2
Aditya Sharma,714024106018,ECE,2
Saanvi Joshi,714024106019,ECE,2
Krishna Desai,714024106020,ECE,2
Aadhya Verma,714024106021,ECE,2
Saanvi Verma,714024106022,ECE,2
Ayaan Desai,714024106023,ECE,2
Vihaan Verma,714024106024,ECE,2
Myra Verma,714024106025,ECE,2
Vivaan Desai,714024106026,ECE,2
Ishaan Reddy,714024106027,ECE,2
Saanvi Nair,714024106028,ECE,2
Arjun Saxena,714024106029,ECE,2
Pari Yadav,714024106030,ECE,2
Krishna Nair,714024106031,ECE,2
Saanvi Kumar,714024106032,ECE,2
Ananya Reddy,714024106033,ECE,2
Krishna Yadav,714024106034,ECE,2
Saanvi Chopra,714024106035,ECE,2
Aditya Mehta,714024106036,ECE,2
Vihaan Joshi,714024106037,ECE,2
Saanvi Reddy,714024106038,ECE,2
Saanvi Nair,714024106039,ECE,2
Reyansh Desai,714024106040,ECE,2
Pari Malhotra,714024106041,ECE,2
Aadhya Yadav,714024106042,ECE,2
Aarav Mehta,714024106043,ECE,2
Reyansh Nair,714024106044,ECE,2
Reyansh Joshi,714024106045,ECE,2
Vihaan Das,714024106046,ECE,2
Pari Patel,714024106047,ECE,2
Sarah Reddy,714024106048,ECE,2
Sai Kumar,714024106049,ECE,2
Saanvi Desai,714024106050,ECE,2
Arjun Yadav,714024106051,ECE,2
Aadhya Patel,714024106052,ECE,2
Riya Malhotra,714024106053,ECE,2
Aarav Singh,714024106054,ECE,2
Diya Mehta,714024106055,ECE,2
Reyansh Bhat,714024106056,ECE,2
Sarah Verma,714024106057,ECE,2
Saanvi Sharma,714024106058,ECE,2
Reyansh Bhat,714024106059,ECE,2
Vivaan Das,714024106060,ECE,2
Ayaan Nair,714024106061,ECE,2
Aditya Reddy,714024106062,ECE,2
Reyansh Bhat,714024106063,ECE,2
Ishaan Joshi,714024106064,ECE,2
Arjun Jain,714024106065,ECE,2
Ishaan Bhat,714024106066,ECE,2
Diya Patel,714024106067,ECE,2
Ishaan Desai,714024106068,ECE,2
Aadhya Joshi,714024106069,ECE,2
Reyansh Nair,714024106070,ECE,2
Diya Desai,714024106071,ECE,2
Aarav Jain,714024106072,ECE,2
Myra Kumar,714024106073,ECE,2
Myra Reddy,714024106074,ECE,2
Vivaan Patel,714024106075,ECE,2
Krishna Kumar,714024106076,ECE,2
Pari Rao,714024106077,ECE,2
Myra Desai,714024106078,ECE,2
Vihaan Gupta,714024106079,ECE,2
Ishaan Saxena,714024106080,ECE,2
Saanvi Mehta,714024106081,ECE,2
Aadhya Rao,714024106082,ECE,2
Anvi Yadav,714024106083,ECE,2
Vihaan Rao,714024106084,ECE,2
Vivaan Yadav,714024106085,ECE,2
Myra Jain,714024106086,ECE,2
Anvi Rao,714024106087,ECE,2
Aditya Kapoor,714024106088,ECE,2
Myra Das,714024106089,ECE,2
Sai Chopra,714024106090,ECE,2
Arjun Das,714024106091,ECE,2
Saanvi Sharma,714024106092,ECE,2
Ayaan Das,714024106093,ECE,2
Saanvi Yadav,714024106094,ECE,2
Ishaan Kapoor,714024106095,ECE,2
Vihaan Gupta,714024106096,ECE,2
Vihaan Patel,714024106097,ECE,2
Pari Nair,714024106098,ECE,2
Sarah Kapoor,714024106099,ECE,2
Aarav Rao,714024106100,ECE,2
Arjun Nair,714024106101,ECE,2
Ayaan Patel,714024106102,ECE,2
Saanvi Chopra,714024106103,ECE,2
Reyansh Patel,714024106104,ECE,2
Krishna Sharma,714024106105,ECE,2
Anvi Malhotra,714024106106,ECE,2
Reyansh Kumar,714024106107,ECE,2
Aadhya Joshi,714024106108,ECE,2
Pari Desai,714024106109,ECE,2
Pari Malhotra,714024106110,ECE,2
Diya Chopra,714024106111,ECE,2
Arjun Kumar,714024106112,ECE,2
Saanvi Singh,714024106113,ECE,2
Sai Gupta,714024106114,ECE,2
Anvi Mehta,714024106115,ECE,2
Aarav Desai,714024106116,ECE,2
Vivaan Singh,714024114001,MECH,2
Ishaan Rao,714024114002,MECH,2
Ananya Saxena,714024114003,MECH,2
Diya Malhotra,714024114004,MECH,2
Arjun Yadav,714024114005,MECH,2
Ayaan Singh,714024114006,MECH,2
Vihaan Jain,714024114007,MECH,2
Krishna Chopra,714024114008,MECH,2
Myra Singh,714024114009,MECH,2
Saanvi Sharma,714024114010,MECH,2
Aditya Sharma,714024114011,MECH,2
Sarah Mehta,714024114012,MECH,2
Riya Gupta,714024114013,MECH,2
Ananya Reddy,714024114014,MECH,2
Vihaan Malhotra,714024114015,MECH,2
Saanvi Jain,714024114016,MECH,2
Ayaan Patel,714024114017,MECH,2
Ananya Yadav,714024114018,MECH,2
Arjun Bhat,714024114019,MECH,2
Myra Sharma,714024114020,MECH,2
Pari Kumar,714024114021,MECH,2
Ayaan Patel,714024114022,MECH,2
Saanvi Kumar,714024114023,MECH,2
Pari Yadav,714024114024,MECH,2
Riya Jain,714024114025,MECH,2
Reyansh Patel,714024114026,MECH,2
Saanvi Desai,714024114027,MECH,2
Reyansh Reddy,714024114028,MECH,2
Saanvi Das,714024114029,MECH,2
Ananya Saxena,714024114030,MECH,2
Saanvi Mehta,714024114031,MECH,2
Sarah Verma,714024114032,MECH,2
Ayaan Reddy,714024114033,MECH,2
Myra Nair,714024114034,MECH,2
Krishna Mehta,714024114035,MECH,2
Ayaan Jain,714024114036,MECH,2
Vivaan Kumar,714024114037,MECH,2
Saanvi Yadav,714024114038,MECH,2
Riya Verma,714024114039,MECH,2
Pari Sharma,714024114040,MECH,2
Arjun Das,714024114041,MECH,2
Reyansh Yadav,714024114042,MECH,2
Ishaan Patel,714024114043,MECH,2
Anvi Yadav,714024114044,MECH,2
Reyansh Joshi,714024114045,MECH,2
Saanvi Kapoor,714024114046,MECH,2
Ananya Singh,714024114047,MECH,2
Aadhya Rao,714024114048,MECH,2
Riya Sharma,714024114049,MECH,2
Vihaan Chopra,714024114050,MECH,2
Ayaan Singh,714024114051,MECH,2
Krishna Malhotra,714024114052,MECH,2
Ishaan Kumar,714024114053,MECH,2
Vivaan Rao,714024114054,MECH,2
Sai Das,714024114055,MECH,2
Ayaan Kumar,714024114056,MECH,2
Sarah Mehta,714024114057,MECH,2
Anvi Sharma,714024114058,MECH,2
Ishaan Chopra,714024114059,MECH,2
Saanvi Saxena,714024114060,MECH,2
Ananya Das,714024114061,MECH,2
Myra Joshi,714024114062,MECH,2
Saanvi Mehta,714024114063,MECH,2
Anvi Malhotra,714024114064,MECH,2
Sai Verma,714024114065,MECH,2
Saanvi Singh,714024114066,MECH,2
Aarav Saxena,714024114067,MECH,2
Aarav Sharma,714024114068,MECH,2
Ayaan Gupta,714024114069,MECH,2
Saanvi Verma,714024114070,MECH,2
Pari Nair,714024114071,MECH,2
Ishaan Kapoor,714024114072,MECH,2
Ananya Patel,714024114073,MECH,2
Vihaan Desai,714024114074,MECH,2
Diya Joshi,714024114075,MECH,2
Ayaan Chopra,714024114076,MECH,2
Krishna Singh,714024114077,MECH,2
Ayaan Rao,714024114078,MECH,2
Saanvi Singh,714024114079,MECH,2
Riya Desai,714024114080,MECH,2
Reyansh Malhotra,714024114081,MECH,2
