Name,Register Number,Department,Year of Study
Ishaan Kapoor,714025104001,CSE,1
Ishaan Jain,714025104002,CSE,1
Krishna Kapoor,714025104003,CSE,1
Reyansh Singh,714025104004,CSE,1
Sarah Kumar,714025104005,CSE,1
Myra Malhotra,714025104006,CSE,1
Vivaan Singh,714025104007,CSE,1
Vihaan Yadav,714025104008,CSE,1
Krishna Patel,714025104009,CSE,1
Arjun Rao,714025104010,CSE,1
Vivaan Gupta,714025104011,CSE,1
Arjun Kapoor,714025104012,CSE,1
Vihaan Reddy,714025104013,CSE,1
Vivaan Reddy,714025104014,CSE,1
Sai Desai,714025104015,CSE,1
Ananya Bhat,714025104016,CSE,1
Vihaan Nair,714025104017,CSE,1
Diya Saxena,714025104018,CSE,1
Arjun Das,714025104019,CSE,1
Arjun Bhat,714025104020,CSE,1
Ayaan Jain,714025104021,CSE,1
Vivaan Verma,714025104022,CSE,1
Pari Rao,714025104023,CSE,1
Ayaan Sharma,714025104024,CSE,1
Arjun Joshi,714025104025,CSE,1
Krishna Joshi,714025104026,CSE,1
Ananya Yadav,714025104027,CSE,1
Pari Verma,714025104028,CSE,1
Aadhya Das,714025104029,CSE,1
Sarah Jain,714025104030,CSE,1
Saanvi Kapoor,714025104031,CSE,1
Aadhya Desai,714025104032,CSE,1
Saanvi Desai,714025104033,CSE,1
Aarav Joshi,714025104034,CSE,1
Saanvi Patel,714025104035,CSE,1
Ananya Kumar,714025104036,CSE,1
Pari Patel,714025104037,CSE,1
Saanvi Kumar,714025104038,CSE,1
Vihaan Jain,714025104039,CSE,1
Aditya Mehta,714025104040,CSE,1
Anvi Das,714025104041,CSE,1
Saanvi Das,714025104042,CSE,1
Sarah Rao,714025104043,CSE,1
Vivaan Yadav,714025104044,CSE,1
Riya Kumar,714025104045,CSE,1
Sai Nair,714025104046,CSE,1
Ananya Saxena,714025104047,CSE,1
Ishaan Saxena,714025104048,CSE,1
Krishna Rao,714025104049,CSE,1
Saanvi Reddy,714025104050,CSE,1
Ishaan Nair,714025104051,CSE,1
Saanvi Kapoor,714025104052,CSE,1
Arjun Kumar,714025104053,CSE,1
Anvi Rao,714025104054,CSE,1
Vihaan Jain,714025104055,CSE,1
Ishaan Chopra,714025104056,CSE,1
Krishna Joshi,714025104057,CSE,1
Saanvi Bhat,714025104058,CSE,1
Myra Nair,714025104059,CSE,1
Krishna Mehta,714025104060,CSE,1
Pari Desai,714025104061,CSE,1
Ananya Reddy,714025104062,CSE,1
Myra Das,714025104063,CSE,1
Sarah Verma,714025104064,CSE,1
Aarav Bhat,714025104065,CSE,1
Anvi Saxena,714025104066,CSE,1
Ayaan Saxena,714025104067,CSE,1
Sai Kumar,714025104068,CSE,1
Vihaan Joshi,714025104069,CSE,1
Pari Kapoor,714025104070,CSE,1
Anvi Desai,714025104071,CSE,1
Sarah Das,714025104072,CSE,1
Arjun Singh,714025104073,CSE,1
Aditya Yadav,714025104074,CSE,1
Ananya Verma,714025104075,CSE,1
Ishaan Desai,714025104076,CSE,1
Saanvi Das,714025104077,CSE,1
Sai Kapoor,714025104078,CSE,1
Sai Gupta,714025104079,CSE,1
Pari Mehta,714025104080,CSE,1
Ayaan Kapoor,714025104081,CSE,1
Diya Verma,714025104082,CSE,1
Vivaan Rao,714025104083,CSE,1
Aditya Malhotra,714025104084,CSE,1
Sai Patel,714025104085,CSE,1
Aadhya Malhotra,714025104086,CSE,1
Ishaan Sharma,714025104087,CSE,1
Sai Singh,714025104088,CSE,1
Ananya Malhotra,714025104089,CSE,1
Aarav Chopra,714025104090,CSE,1
Ayaan Chopra,714025104091,CSE,1
Aditya Mehta,714025104092,CSE,1
Arjun Kumar,714025104093,CSE,1
Myra Singh,714025104094,CSE,1
Ishaan Kapoor,714025104095,CSE,1
Vivaan Das,714025104096,CSE,1
Ishaan Kumar,714025104097,CSE,1
Arjun Reddy,714025104098,CSE,1
Aditya Singh,714025104099,CSE,1
Sarah Kumar,714025104100,CSE,1
Myra Kapoor,714025104101,CSE,1
Riya Das,714025104102,CSE,1
Krishna Yadav,714025104103,CSE,1
Aadhya Sharma,714025104104,CSE,1
Krishna Verma,714025104105,CSE,1
Aarav Chopra,714025104106,CSE,1
Pari Das,714025104107,CSE,1
Myra Sharma,714025104108,CSE,1
Sai Jain,714025104109,CSE,1
Saanvi Verma,714025104110,CSE,1
Myra Verma,714025104111,CSE,1
Anvi Saxena,714025104112,CSE,1
Anvi Kumar,714025104113,CSE,1
Vihaan Malhotra,714025104114,CSE,1
Saanvi Rao,714025104115,CSE,1
Ishaan Verma,714025104116,CSE,1
Saanvi Sharma,714025104117,CSE,1
Vihaan Chopra,714025104118,CSE,1
Ananya Desai,714025104119,CSE,1
Saanvi Bhat,714025104120,CSE,1
Arjun Kapoor,714025104121,CSE,1
Anvi Malhotra,714025104122,CSE,1
Saanvi Bhat,714025104123,CSE,1
Saanvi Kumar,714025104124,CSE,1
Arjun Yadav,714025104125,CSE,1
Aadhya Joshi,714025104126,CSE,1
Reyansh Jain,714025106001,ECE,1
Anvi Bhat,714025106002,ECE,1
Saanvi Rao,714025106003,ECE,1
Sai Das,714025106004,ECE,1
Ayaan Das,714025106005,ECE,1
Diya Verma,714025106006,ECE,1
Krishna Joshi,714025106007,ECE,1
Vihaan Rao,714025106008,ECE,1
Pari Malhotra,714025106009,ECE,1
Diya Mehta,714025106010,ECE,1
Anvi Singh,714025106011,ECE,1
Myra Jain,714025106012,ECE,1
Saanvi Desai,714025106013,ECE,1
Aditya Bhat,714025106014,ECE,1
Ananya Verma,714025106015,ECE,1
Reyansh Kumar,714025106016,ECE,1
Sai Gupta,714025106017,ECE,1
Arjun Nair,714025106018,ECE,1
Anvi Mehta,714025106019,ECE,1
Diya Das,714025106020,ECE,1
Aditya Joshi,714025106021,ECE,1
Sai Das,714025106022,ECE,1
Ishaan Malhotra,714025106023,ECE,1
Myra Malhotra,714025106024,ECE,1
Ishaan Saxena,714025106025,ECE,1
Diya Gupta,714025106026,ECE,1
Myra Mehta,714025106027,ECE,1
Riya Gupta,714025106028,ECE,1
Pari Chopra,714025106029,ECE,1
Pari Kumar,714025106030,ECE,1
Riya Desai,714025106031,ECE,1
Aarav Nair,714025106032,ECE,1
Riya Jain,714025106033,ECE,1
Myra Joshi,714025106034,ECE,1
Myra Gupta,714025106035,ECE,1
Aarav Bhat,714025106036,ECE,1
Vihaan Kumar,714025106037,ECE,1
Diya Desai,714025106038,ECE,1
Aadhya Mehta,714025106039,ECE,1
Vivaan Singh,714025106040,ECE,1
Myra Jain,714025106041,ECE,1
Sarah Kumar,714025106042,ECE,1
Vihaan Mehta,714025106043,ECE,1
Sai Patel,714025106044,ECE,1
Ananya Gupta,714025106045,ECE,1
Diya Chopra,714025106046,ECE,1
Pari Mehta,714025106047,ECE,1
Riya Jain,714025106048,ECE,1
Diya Jain,714025106049,ECE,1
Myra Malhotra,714025106050,ECE,1
Aarav Gupta,714025106051,ECE,1
Anvi Kumar,714025106052,ECE,1
Ayaan Reddy,714025106053,ECE,1
Arjun Chopra,714025106054,ECE,1
Sai Das,714025106055,ECE,1
Anvi Desai,714025106056,ECE,1
Riya Mehta,714025106057,ECE,1
Ayaan Bhat,714025106058,ECE,1
Reyansh Jain,714025106059,ECE,1
Aadhya Gupta,714025106060,ECE,1
Vihaan Mehta,714025106061,ECE,1
Arjun Gupta,714025106062,ECE,1
Sarah Patel,714025106063,ECE,1
Aarav Singh,714025106064,ECE,1
Reyansh Rao,714025106065,ECE,1
Vihaan Das,714025106066,ECE,1
Pari Mehta,714025106067,ECE,1
Myra Kumar,714025106068,ECE,1
Saanvi Saxena,714025106069,ECE,1
Sarah Chopra,714025106070,ECE,1
Myra Verma,714025106071,ECE,1
Aadhya Singh,714025106072,ECE,1
Arjun Saxena,714025106073,ECE,1
Ananya Verma,714025106074,ECE,1
Aditya Singh,714025106075,ECE,1
Vivaan Kumar,714025106076,ECE,1
Sai Desai,714025106077,ECE,1
Vivaan Kumar,714025106078,ECE,1
Sai Joshi,714025106079,ECE,1
Ayaan Jain,714025106080,ECE,1
Arjun Joshi,714025106081,ECE,1
Aditya Kapoor,714025106082,ECE,1
Aditya Mehta,714025106083,ECE,1
Vihaan Kapoor,714025106084,ECE,1
Ayaan Gupta,714025106085,ECE,1
Diya Rao,714025106086,ECE,1
Arjun Mehta,714025106087,ECE,1
Sai Desai,714025106088,ECE,1
Sarah Malhotra,714025106089,ECE,1
Krishna Reddy,714025106090,ECE,1
Riya Nair,714025106091,ECE,1
Krishna Jain,714025106092,ECE,1
Myra Das,714025106093,ECE,1
Aarav Rao,714025106094,ECE,1
Aadhya Rao,714025106095,ECE,1
Aditya Desai,714025106096,ECE,1
Vivaan Yadav,714025106097,ECE,1
Diya Kapoor,714025106098,ECE,1
Aadhya Malhotra,714025106099,ECE,1
Anvi Das,714025106100,ECE,1
Krishna Jain,714025106101,ECE,1
Vihaan Kapoor,714025106102,ECE,1
Riya Jain,714025106103,ECE,1
Sarah Saxena,714025106104,ECE,1
Diya Nair,714025106105,ECE,1
Ishaan Mehta,714025106106,ECE,1
Sai Sharma,714025106107,ECE,1
Vihaan Verma,714025106108,ECE,1
Ayaan Yadav,714025106109,ECE,1
Aadhya Gupta,714025106110,ECE,1
Vivaan Das,714025106111,ECE,1
Ananya Jain,714025106112,ECE,1
Sai Das,714025106113,ECE,1
Sai Yadav,714025106114,ECE,1
Aarav Sharma,714025106115,ECE,1
Aarav Chopra,714025106116,ECE,1
Vihaan Joshi,714025106117,ECE,1
Krishna Mehta,714025106118,ECE,1
Arjun Das,714025106119,ECE,1
Ananya Joshi,714025106120,ECE,1
Sarah Desai,714025106121,ECE,1
Pari Sharma,714025106122,ECE,1
Ayaan Rao,714025106123,ECE,1
Aadhya Kumar,714025106124,ECE,1
Saanvi Gupta,714025106125,ECE,1
Myra Kumar,714025106126,ECE,1
Aditya Mehta,714025106127,ECE,1
Arjun Verma,714025106128,ECE,1
Vivaan Desai,714025106129,ECE,1
Reyansh Rao,714025106130,ECE,1
Sai Gupta,714025106131,ECE,1
Diya Das,714025106132,ECE,1
Saanvi Rao,714025106133,ECE,1
Ananya Yadav,714025114001,MECH,1
Vivaan Desai,714025114002,MECH,1
Ishaan Reddy,714025114003,MECH,1
Ishaan Singh,714025114004,MECH,1
Vivaan Kumar,714025114005,MECH,1
Reyansh Verma,714025114006,MECH,1
Saanvi Rao,714025114007,MECH,1
Aditya Malhotra,714025114008,MECH,1
Anvi Kapoor,714025114009,MECH,1
Ananya Verma,714025114010,MECH,1
Aarav Verma,714025114011,MECH,1
Ananya Kapoor,714025114012,MECH,1
Aditya Patel,714025114013,MECH,1
Saanvi Singh,714025114014,MECH,1
Riya Mehta,714025114015,MECH,1
Anvi Gupta,714025114016,MECH,1
Saanvi Verma,714025114017,MECH,1
Vihaan Verma,714025114018,MECH,1
Aarav Nair,714025114019,MECH,1
Ishaan Chopra,714025114020,MECH,1
Sai Jain,714025114021,MECH,1
Vivaan Chopra,714025114022,MECH,1
Myra Patel,714025114023,MECH,1
Ananya Jain,714025114024,MECH,1
Ananya Bhat,714025114025,MECH,1
Ishaan Malhotra,714025114026,MECH,1
Reyansh Sharma,714025114027,MECH,1
Vivaan Reddy,714025114028,MECH,1
Vivaan Malhotra,714025114029,MECH,1
Pari Joshi,714025114030,MECH,1
Riya Sharma,714025114031,MECH,1
Ishaan Yadav,714025114032,MECH,1
Vivaan Joshi,714025114033,MECH,1
Arjun Das,714025114034,MECH,1
Pari Malhotra,714025114035,MECH,1
Saanvi Patel,714025114036,MECH,1
Krishna Mehta,714025114037,MECH,1
Ayaan Saxena,714025114038,MECH,1
Aarav Sharma,714025114039,MECH,1
Vivaan Das,714025114040,MECH,1
Aadhya Gupta,714025114041,MECH,1
Ananya Kapoor,714025114042,MECH,1
Vivaan Bhat,714025114043,MECH,1
Sai Kumar,714025114044,MECH,1
Sarah Rao,714025114045,MECH,1
Krishna Singh,714025114046,MECH,1
Aditya Reddy,714025114047,MECH,1
Riya Desai,714025114048,MECH,1
Vivaan Yadav,714025114049,MECH,1
Anvi Malhotra,714025114050,MECH,1
Aadhya Yadav,714025114051,MECH,1
Reyansh Sharma,714025114052,MECH,1
Anvi Verma,714025114053,MECH,1
Sai Joshi,714025114054,MECH,1
Saanvi Mehta,714025114055,MECH,1
Anvi Verma,714025114056,MECH,1
Saanvi Chopra,714025114057,MECH,1
Riya Singh,714025114058,MECH,1
Myra Singh,714025114059,MECH,1
Sai Kumar,714025114060,MECH,1
Ishaan Desai,714025114061,MECH,1
Ishaan Jain,714025114062,MECH,1
Ayaan Desai,714025114063,MECH,1
Aadhya Reddy,714025114064,MECH,1
Aditya Kapoor,714025114065,MECH,1
Reyansh Kapoor,714025114066,MECH,1
Sai Verma,714025114067,MECH,1
Sai Reddy,714025114068,MECH,1
Diya Saxena,714025114069,MECH,1
Aarav Chopra,714025114070,MECH,1
Aarav Jain,714025114071,MECH,1
Diya Joshi,714025114072,MECH,1
Ayaan Rao,714025114073,MECH,1
Saanvi Reddy,714025114074,MECH,1
Vivaan Kapoor,714025114075,MECH,1
Riya Joshi,714025114076,MECH,1
Vivaan Gupta,714025114077,MECH,1
Saanvi Sharma,714025114078,MECH,1
Riya Patel,714025114079,MECH,1
Pari Malhotra,714025114080,MECH,1
Vihaan Bhat,714025114081,MECH,1
Krishna Verma,714025114082,MECH,1
Vihaan Chopra,714025114083,MECH,1
Sai Kapoor,714025114084,MECH,1
Ishaan Joshi,714025114085,MECH,1
Aditya Mehta,714025114086,MECH,1
Ananya Reddy,714025114087,MECH,1
Vihaan Desai,714025114088,MECH,1
Diya Sharma,714025114089,MECH,1
Aadhya Chopra,714025114090,MECH,1
Aadhya Joshi,714025114091,MECH,1
Reyansh Verma,714025114092,MECH,1
Sai Bhat,714025114093,MECH,1
Ananya Malhotra,714025114094,MECH,1
Myra Kapoor,714025114095,MECH,1
Vivaan Patel,714025114096,MECH,1
Krishna Nair,714025114097,MECH,1
Aditya Jain,714025114098,MECH,1
Reyansh Gupta,714025114099,MECH,1
Sai Yadav,714025114100,MECH,1
Ananya Yadav,714025114101,MECH,1
Vihaan Sharma,714025114102,MECH,1
Vihaan Das,714025114103,MECH,1
Myra Malhotra,714025114104,MECH,1
Sai Desai,714025114105,MECH,1
Ishaan Patel,714025114106,MECH,1
Riya Kapoor,714025114107,MECH,1
Myra Kapoor,714025114108,MECH,1
Krishna Jain,714025114109,MECH,1
Arjun Nair,714025114110,MECH,1
Arjun Reddy,714025114111,MECH,1
Ishaan Desai,714025114112,MECH,1
Saanvi Yadav,714025114113,MECH,1
Vivaan Verma,714025114114,MECH,1
Aadhya Saxena,714025114115,MECH,1
Saanvi Jain,714025114116,MECH,1
Aditya Desai,714025103001,CIVIL,1
Saanvi Desai,714025103002,CIVIL,1
Myra Kumar,714025103003,CIVIL,1
Anvi Mehta,714025103004,CIVIL,1
Reyansh Mehta,714025103005,CIVIL,1
Diya Bhat,714025103006,CIVIL,1
Diya Chopra,714025103007,CIVIL,1
Riya Jain,714025103008,CIVIL,1
Pari Desai,714025103009,CIVIL,1
Saanvi Joshi,714025103010,CIVIL,1
Saanvi Nair,714025103011,CIVIL,1
Sarah Kapoor,714025103012,CIVIL,1
Ayaan Mehta,714025103013,CIVIL,1
Aarav Kumar,714025103014,CIVIL,1
Saanvi Bhat,714025103015,CIVIL,1
Aditya Chopra,714025103016,CIVIL,1
Ishaan Nair,714025103017,CIVIL,1
Vivaan Sharma,714025103018,CIVIL,1
Ananya Malhotra,714025103019,CIVIL,1
Vihaan Chopra,714025103020,CIVIL,1
Riya Joshi,714025103021,CIVIL,1
Pari Kumar,714025103022,CIVIL,1
Aarav Gupta,714025103023,CIVIL,1
Myra Jain,714025103024,CIVIL,1
Sai Nair,714025103025,CIVIL,1
Vihaan Malhotra,714025103026,CIVIL,1
Saanvi Chopra,714025103027,CIVIL,1
Sarah Rao,714025103028,CIVIL,1
Sai Patel,714025103029,CIVIL,1
Saanvi Saxena,714025103030,CIVIL,1
Aarav Chopra,714025103031,CIVIL,1
Ayaan Mehta,714025103032,CIVIL,1
Reyansh Bhat,714025103033,CIVIL,1
Ishaan Kapoor,714025103034,CIVIL,1
Anvi Patel,714025103035,CIVIL,1
Ayaan Das,714025103036,CIVIL,1
Saanvi Patel,714025103037,CIVIL,1
Saanvi Sharma,714025103038,CIVIL,1
Sai Kumar,714025103039,CIVIL,1
Vivaan Kapoor,714025103040,CIVIL,1
Krishna Das,714025103041,CIVIL,1
Arjun Jain,714025103042,CIVIL,1
Diya Joshi,714025103043,CIVIL,1
Arjun Yadav,714025103044,CIVIL,1
Krishna Sharma,714025103045,CIVIL,1
Aadhya Yadav,714025103046,CIVIL,1
Aarav Verma,714025103047,CIVIL,1
Saanvi Rao,714025103048,CIVIL,1
Arjun Kapoor,714025103049,CIVIL,1
Sai Chopra,714025103050,CIVIL,1
Krishna Singh,714025103051,CIVIL,1
Aadhya Joshi,714025103052,CIVIL,1
Reyansh Yadav,714025103053,CIVIL,1
Arjun Malhotra,714025103054,CIVIL,1
Sai Yadav,714025103055,CIVIL,1
Saanvi Mehta,714025103056,CIVIL,1
Ishaan Malhotra,714025103057,CIVIL,1
